"Initial source","Transformation ID","Reaction SMILES","Substrate SMILES","Substrate InChI","Product SMILES","Product InChI","In Sink","Sink name","Diameter","Rule ID","EC number","Score","Starting Source SMILES","Iteration"
"[target]","TRS_0_0_0","[O:1]([S:2](=[O:3])(=[O:4])[C:5]([C:6]([N:7]([H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:14]>>O=C(O[H:11])[C:6]([C:5]([S:2]([O:1][H:14])(=[O:3])=[O:4])([H:12])[H:13])([N:7]([H:8])[H:9])[H:10]","NCCS(=O)(=O)O","InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)","NC(CS(=O)(=O)O)C(=O)O","InChI=1S/C3H7NO5S/c4-2(3(5)6)1-10(7,8)9/h2H,1,4H2,(H,5,6)(H,7,8,9)","0","[None]","16","[RR-02-94529d0517da422f-16-F]","[4.1.1.15;4.1.1.29]","0.8251685759721918","NCCS(=O)(=O)O","0"
"[target]","TRS_0_0_1","[N:1]([C:2]([C:3]([S:4](=[O:5])(=[O:6])[O:7][H:8])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14]>>([H]OC(=NC([H])([H])C([H])([H])S[H:13])C([H])([H])C([H])([H])N=C(O[H])C([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C1([H])OC([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)C([H])(O[H])C1([H])OP(=O)(O[H])O[H].[H]OC1([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])(C([H])([H])C([H])([H])C3([H])C2([H])C([H])([H])C([H])(O[H])C2(C([H])([H])[H])C([H])(C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(O[H:14])=[N:1][C:2]([C:3]([S:4](=[O:5])(=[O:6])[O:7][H:8])([H:9])[H:10])([H:11])[H:12])C([H])([H])C([H])([H])C32[H])C1([H])[H])","NCCS(=O)(=O)O","InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)","CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCS","InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)","0","[None]","16","[RR-02-ba96919f35f44417-16-F]","[NOEC]","0.2697797707125414","NCCS(=O)(=O)O","0"
"[target]","TRS_0_0_1","[N:1]([C:2]([C:3]([S:4](=[O:5])(=[O:6])[O:7][H:8])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14]>>([H]OC(=NC([H])([H])C([H])([H])S[H:13])C([H])([H])C([H])([H])N=C(O[H])C([H])(O[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C1([H])OC([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)C([H])(O[H])C1([H])OP(=O)(O[H])O[H].[H]OC1([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])(C([H])([H])C([H])([H])C3([H])C2([H])C([H])([H])C([H])(O[H])C2(C([H])([H])[H])C([H])(C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(O[H:14])=[N:1][C:2]([C:3]([S:4](=[O:5])(=[O:6])[O:7][H:8])([H:9])[H:10])([H:11])[H:12])C([H])([H])C([H])([H])C32[H])C1([H])[H])","NCCS(=O)(=O)O","InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)","CC(CCC(O)=NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C","InChI=1S/C26H45NO6S/c1-16(4-9-24(30)27-12-13-34(31,32)33)20-7-8-21-19-6-5-17-14-18(28)10-11-25(17,2)22(19)15-23(29)26(20,21)3/h16-23,28-29H,4-15H2,1-3H3,(H,27,30)(H,31,32,33)","0","[None]","16","[RR-02-ba96919f35f44417-16-F]","[NOEC]","0.2697797707125414","NCCS(=O)(=O)O","0"
"[target]","TRS_0_0_2","[O:1]([S:2](=[O:3])(=[O:4])[C:5]([C:6]([N:7]([H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:14]>>([H][O:4][H].[O:1]([S:2](=[O:3])[C:5]([C:6]([N:7]([H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:14])","NCCS(=O)(=O)O","InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)","NCCS(=O)O","InChI=1S/C2H7NO2S/c3-1-2-6(4)5/h1-3H2,(H,4,5)","0","[None]","16","[RR-02-749f2fa3106d25ba-16-F]","[1.8.1.3]","0.3553517581341015","NCCS(=O)(=O)O","0"
"[target]","TRS_0_0_2","[O:1]([S:2](=[O:3])(=[O:4])[C:5]([C:6]([N:7]([H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:14]>>([H][O:4][H].[O:1]([S:2](=[O:3])[C:5]([C:6]([N:7]([H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:14])","NCCS(=O)(=O)O","InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)","O","InChI=1S/H2O/h1H2","0","[None]","16","[RR-02-749f2fa3106d25ba-16-F]","[1.8.1.3]","0.3553517581341015","NCCS(=O)(=O)O","0"
"[target]","TRS_0_0_3","[O:1]([S:2](=[O:3])(=[O:4])[C:5]([C:6]([N:7]([H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:14]>>(O=[C:6]([C:5]([S:2]([O:1][H:14])(=[O:3])=[O:4])([H:12])[H:13])[H:10].[H]OC(=O)C([H])([H])C([H])([H])C(C(=O)O[H])([N:7]([H:8])[H:9])[H:11])","NCCS(=O)(=O)O","InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)","NC(CCC(=O)O)C(=O)O","InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)","0","[None]","16","[RR-02-42946659c9ff0735-16-F]","[2.6.1.55]","1.0","NCCS(=O)(=O)O","0"
"[target]","TRS_0_0_3","[O:1]([S:2](=[O:3])(=[O:4])[C:5]([C:6]([N:7]([H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:14]>>(O=[C:6]([C:5]([S:2]([O:1][H:14])(=[O:3])=[O:4])([H:12])[H:13])[H:10].[H]OC(=O)C([H])([H])C([H])([H])C(C(=O)O[H])([N:7]([H:8])[H:9])[H:11])","NCCS(=O)(=O)O","InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)","O=CCS(=O)(=O)O","InChI=1S/C2H4O4S/c3-1-2-7(4,5)6/h1H,2H2,(H,4,5,6)","0","[None]","16","[RR-02-42946659c9ff0735-16-F]","[2.6.1.55]","1.0","NCCS(=O)(=O)O","0"
"[target]","TRS_0_0_4","[O:1]([S:2](=[O:3])(=[O:4])[C:5]([C:6]([N:7]([H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:14]>>([H]N=C(N([H])[H])[N:7]([C:6]([C:5]([S:2]([O:1][H:14])(=[O:3])=[O:4])([H:12])[H:13])([H:10])[H:11])[H:8].[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H:9])","NCCS(=O)(=O)O","InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)","N=C(N)NCCS(=O)(=O)O","InChI=1S/C3H9N3O3S/c4-3(5)6-1-2-10(7,8)9/h1-2H2,(H4,4,5,6)(H,7,8,9)","0","[None]","16","[RR-02-2f2a4e830e2c78d9-16-F]","[2.1.4.1]","0.7486085128675456","NCCS(=O)(=O)O","0"
"[target]","TRS_0_0_4","[O:1]([S:2](=[O:3])(=[O:4])[C:5]([C:6]([N:7]([H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:14]>>([H]N=C(N([H])[H])[N:7]([C:6]([C:5]([S:2]([O:1][H:14])(=[O:3])=[O:4])([H:12])[H:13])([H:10])[H:11])[H:8].[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H:9])","NCCS(=O)(=O)O","InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)","NCCCC(N)C(=O)O","InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)","0","[None]","16","[RR-02-2f2a4e830e2c78d9-16-F]","[2.1.4.1]","0.7486085128675456","NCCS(=O)(=O)O","0"
"[target]","TRS_0_0_5","[O:1]([S:2](=[O:3])(=[O:4])[C:5]([C:6]([N:7]([H:8])[H:9])([H:10])[H:11])([H:12])[H:13])[H:14]>>(O([H:8])[H:9].[H]OC(C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])(O[H])C([H])([H])C4([H])C([H])([H])C([H])(O[H])C([H])([H])C([H])([H])C4(C([H])([H])[H])C3([H])C([H])([H])C([H])(O[H])C12C([H])([H])[H])=[N:7][C:6]([C:5]([S:2]([O:1][H:14])(=[O:3])=[O:4])([H:12])[H:13])([H:10])[H:11])","NCCS(=O)(=O)O","InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)","CC(CCC(O)=NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C","InChI=1S/C26H45NO7S/c1-15(4-7-23(31)27-10-11-35(32,33)34)18-5-6-19-24-20(14-22(30)26(18,19)3)25(2)9-8-17(28)12-16(25)13-21(24)29/h15-22,24,28-30H,4-14H2,1-3H3,(H,27,31)(H,32,33,34)","0","[None]","16","[RR-02-abbd2c907f554b10-16-F]","[3.5.1;3.5.1.24]","0.5683242688496836","NCCS(=O)(=O)O","0"
