"Initial source","Transformation ID","Reaction SMILES","Substrate SMILES","Substrate InChI","Product SMILES","Product InChI","In Sink","Sink name","Diameter","Rule ID","EC number","Score","Starting Source SMILES","Iteration"
"[target]","TRS_0_0_0","[CH3:1][C:2]([OH:3])([H:4])[C:5]([O:6][C:7]1([H:8])[O:9][C:10]([C:11]([O:12][H:13])([H:14])[H:15])([H:16])[C:17]([O:18][H:19])([H:20])[C:21]([O:22][H:23])([H:24])[C:25]1([O:26][H:27])[H:28])([H:29])[C:30]([OH:31])([H:32])[CH3:33]>>([H]OC([H])([H])C1([H])OC([H])([O:12][C:11]([C:10]2([H:16])[O:9][C:7]([O:6][C:5]([C:2]([CH3:1])([OH:3])[H:4])([H:29])[C:30]([OH:31])([H:32])[CH3:33])([H:8])[C:25]([O:26][H:27])([H:28])[C:21]([O:22][H:23])([H:24])[C:17]2([O:18][H:19])[H:20])([H:14])[H:15])C([H])(O[H])C([H])(O[H])C1([H])O[H].[H]OC1:N:C(=O):N(C2([H])OC([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H:13])C([H])(O[H])C2([H])O[H]):C([H]):C:1[H])","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8-,9-,10+,11?,12+/m1/s1","O=c1nc(O)ccn1C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O","InChI=1S/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)","0","[None]","16","[RR-02-528ea827b5057aed-16-F]","[NOEC]","1.0","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","0"
"[target]","TRS_0_0_0","[CH3:1][C:2]([OH:3])([H:4])[C:5]([O:6][C:7]1([H:8])[O:9][C:10]([C:11]([O:12][H:13])([H:14])[H:15])([H:16])[C:17]([O:18][H:19])([H:20])[C:21]([O:22][H:23])([H:24])[C:25]1([O:26][H:27])[H:28])([H:29])[C:30]([OH:31])([H:32])[CH3:33]>>([H]OC([H])([H])C1([H])OC([H])([O:12][C:11]([C:10]2([H:16])[O:9][C:7]([O:6][C:5]([C:2]([CH3:1])([OH:3])[H:4])([H:29])[C:30]([OH:31])([H:32])[CH3:33])([H:8])[C:25]([O:26][H:27])([H:28])[C:21]([O:22][H:23])([H:24])[C:17]2([O:18][H:19])[H:20])([H:14])[H:15])C([H])(O[H])C([H])(O[H])C1([H])O[H].[H]OC1:N:C(=O):N(C2([H])OC([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H:13])C([H])(O[H])C2([H])O[H]):C([H]):C:1[H])","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8-,9-,10+,11?,12+/m1/s1","OCC1OC(OC[C@H]2O[C@@H](O[C@H]3[C@H](O)[C@@H](CO)OC(O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)C(O)C(O)C1O","InChI=1S/C18H32O16/c19-1-4-7(21)10(24)12(26)17(32-4)30-3-6-8(22)11(25)13(27)18(33-6)34-15-9(23)5(2-20)31-16(29)14(15)28/h4-29H,1-3H2/t4?,5-,6-,7?,8-,9-,10?,11+,12?,13-,14-,15+,16?,17?,18+/m1/s1","0","[None]","16","[RR-02-528ea827b5057aed-16-F]","[NOEC]","1.0","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","0"
"[target]","TRS_0_0_1","[O:1]([C:2]([C:3]1([H:4])[O:5][C:6]([O:7][H:8])([H:9])[C:10]([O:11][H:12])([H:13])[C:14]([O:15][C:16]2([H:17])[C:18]([O:19][H:20])([H:21])[C:22]([O:23][H:24])([H:25])[C:26]([O:27][H:28])([H:29])[C:30]([C:31]([O:32][H:33])([H:34])[H:35])([H:36])[O:37]2)([H:38])[C:39]1([O:40][H:41])[H:42])([H:43])[H:44])[H:45]>>([H]O[C:16]1([H:17])[C:18]([O:19][H:20])([H:21])[C:22]([O:23][H:24])([H:25])[C:26]([O:27][H:28])([H:29])[C:30]([C:31]([O:32][H:33])([H:34])[H:35])([H:36])[O:37]1.[H][O:15][C:14]1([H:38])[C:10]([O:11][H:12])([H:13])[C:6]([O:7][H:8])([H:9])[O:5][C:3]([C:2]([O:1][H:45])([H:43])[H:44])([H:4])[C:39]1([O:40][H:41])[H:42])","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8-,9-,10+,11?,12+/m1/s1","OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1","0","[None]","16","[RR-02-630a469ff8eea5fb-16-F]","[NOEC]","0.2697670805325502","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","0"
"[target]","TRS_0_0_1","[O:1]([C:2]([C:3]1([H:4])[O:5][C:6]([O:7][H:8])([H:9])[C:10]([O:11][H:12])([H:13])[C:14]([O:15][C:16]2([H:17])[C:18]([O:19][H:20])([H:21])[C:22]([O:23][H:24])([H:25])[C:26]([O:27][H:28])([H:29])[C:30]([C:31]([O:32][H:33])([H:34])[H:35])([H:36])[O:37]2)([H:38])[C:39]1([O:40][H:41])[H:42])([H:43])[H:44])[H:45]>>([H]O[C:16]1([H:17])[C:18]([O:19][H:20])([H:21])[C:22]([O:23][H:24])([H:25])[C:26]([O:27][H:28])([H:29])[C:30]([C:31]([O:32][H:33])([H:34])[H:35])([H:36])[O:37]1.[H][O:15][C:14]1([H:38])[C:10]([O:11][H:12])([H:13])[C:6]([O:7][H:8])([H:9])[O:5][C:3]([C:2]([O:1][H:45])([H:43])[H:44])([H:4])[C:39]1([O:40][H:41])[H:42])","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8-,9-,10+,11?,12+/m1/s1","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1","0","[None]","16","[RR-02-630a469ff8eea5fb-16-F]","[NOEC]","0.2697670805325502","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","0"
"[target]","TRS_0_0_2","[CH3:1][C:2]([OH:3])([H:4])[C:5]([O:6][C:7]1([H:8])[O:9][C:10]([C:11]([O:12][H:13])([H:14])[H:15])([H:16])[C:17]([O:18][H:19])([H:20])[C:21]([O:22][H:23])([H:24])[C:25]1([O:26][H:27])[H:28])([H:29])[C:30]([OH:31])([H:32])[CH3:33]>>([H]OC([H])([H])C([H])(O[H])C1([H])OC([H])([O:12][C:11]([C:10]2([H:16])[O:9][C:7]([O:6][C:5]([C:2]([CH3:1])([OH:3])[H:4])([H:29])[C:30]([OH:31])([H:32])[CH3:33])([H:8])[C:25]([O:26][H:27])([H:28])[C:21]([O:22][H:23])([H:24])[C:17]2([O:18][H:19])[H:20])([H:14])[H:15])C([H])(O[H])C1([H])O[H].[H]OC1:N:C(=O):N(C2([H])OC([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H:13])C([H])(O[H])C2([H])O[H]):C([H]):C:1[H])","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8-,9-,10+,11?,12+/m1/s1","O=c1nc(O)ccn1C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O","InChI=1S/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)","0","[None]","16","[RR-02-39d20debc74a95cd-16-F]","[NOEC]","0.2697797707125414","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","0"
"[target]","TRS_0_0_2","[CH3:1][C:2]([OH:3])([H:4])[C:5]([O:6][C:7]1([H:8])[O:9][C:10]([C:11]([O:12][H:13])([H:14])[H:15])([H:16])[C:17]([O:18][H:19])([H:20])[C:21]([O:22][H:23])([H:24])[C:25]1([O:26][H:27])[H:28])([H:29])[C:30]([OH:31])([H:32])[CH3:33]>>([H]OC([H])([H])C([H])(O[H])C1([H])OC([H])([O:12][C:11]([C:10]2([H:16])[O:9][C:7]([O:6][C:5]([C:2]([CH3:1])([OH:3])[H:4])([H:29])[C:30]([OH:31])([H:32])[CH3:33])([H:8])[C:25]([O:26][H:27])([H:28])[C:21]([O:22][H:23])([H:24])[C:17]2([O:18][H:19])[H:20])([H:14])[H:15])C([H])(O[H])C1([H])O[H].[H]OC1:N:C(=O):N(C2([H])OC([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H:13])C([H])(O[H])C2([H])O[H]):C([H]):C:1[H])","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8-,9-,10+,11?,12+/m1/s1","OCC(O)C1OC(OC[C@H]2O[C@@H](O[C@H]3[C@H](O)[C@@H](CO)OC(O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)C(O)C1O","InChI=1S/C18H32O16/c19-1-4(21)14-10(25)12(27)17(33-14)30-3-6-7(22)9(24)11(26)18(32-6)34-15-8(23)5(2-20)31-16(29)13(15)28/h4-29H,1-3H2/t4?,5-,6-,7-,8-,9+,10?,11-,12?,13-,14?,15+,16?,17?,18+/m1/s1","0","[None]","16","[RR-02-39d20debc74a95cd-16-F]","[NOEC]","0.2697797707125414","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","0"
"[target]","TRS_0_0_3","[O:1]([C:2]([C:3]1([H:4])[O:5][C:6]([O:7][C:8]([H:9])([C:10]([CH3:11])([H:12])[OH:13])[C:14]([OH:15])([H:16])[CH3:17])([H:18])[C:19]([O:20][H:21])([H:22])[C:23]([O:24][H:25])([H:26])[C:27]1([O:28][H:29])[H:30])([H:31])[H:32])[H:33]>>([H]OC1([H])C([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)OC([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H:33])C1([H])O[H].[H]OP(=O)(O[H])[O:1][C:2]([C:3]1([H:4])[O:5][C:6]([O:7][C:8]([H:9])([C:10]([CH3:11])([H:12])[OH:13])[C:14]([OH:15])([H:16])[CH3:17])([H:18])[C:19]([O:20][H:21])([H:22])[C:23]([O:24][H:25])([H:26])[C:27]1([O:28][H:29])[H:30])([H:31])[H:32])","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8-,9-,10+,11?,12+/m1/s1","Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O","InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)","0","[None]","16","[RR-02-6f293f2e147b7889-16-F]","[2.7.1.85]","1.0","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","0"
"[target]","TRS_0_0_3","[O:1]([C:2]([C:3]1([H:4])[O:5][C:6]([O:7][C:8]([H:9])([C:10]([CH3:11])([H:12])[OH:13])[C:14]([OH:15])([H:16])[CH3:17])([H:18])[C:19]([O:20][H:21])([H:22])[C:23]([O:24][H:25])([H:26])[C:27]1([O:28][H:29])[H:30])([H:31])[H:32])[H:33]>>([H]OC1([H])C([H])(N2:C([H]):N:C3:C(N([H])[H]):N:C([H]):N:C:3:2)OC([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H:33])C1([H])O[H].[H]OP(=O)(O[H])[O:1][C:2]([C:3]1([H:4])[O:5][C:6]([O:7][C:8]([H:9])([C:10]([CH3:11])([H:12])[OH:13])[C:14]([OH:15])([H:16])[CH3:17])([H:18])[C:19]([O:20][H:21])([H:22])[C:23]([O:24][H:25])([H:26])[C:27]1([O:28][H:29])[H:30])([H:31])[H:32])","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8-,9-,10+,11?,12+/m1/s1","O=P(O)(O)OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C12H23O14P/c13-1-3-6(15)10(9(18)11(19)24-3)26-12-8(17)7(16)5(14)4(25-12)2-23-27(20,21)22/h3-19H,1-2H2,(H2,20,21,22)/t3-,4-,5-,6-,7+,8-,9-,10+,11?,12+/m1/s1","0","[None]","16","[RR-02-6f293f2e147b7889-16-F]","[2.7.1.85]","1.0","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","0"
"[target]","TRS_0_0_4","[O:1]([C:2]([C:3]1([H:4])[O:5][C:6]([O:7][C:8]([H:9])([C:10]([OH:11])([H:12])[CH3:13])[C:14]([CH3:15])([H:16])[OH:17])([H:18])[C:19]([O:20][H:21])([H:22])[C:23]([O:24][H:25])([H:26])[C:27]1([O:28][H:29])[H:30])([H:31])[H:32])[H:33]>>([H]OC(=O)C1=C([H])C([H])(O[H])C([H])(O[H])C([H])([O:28][C:27]2([H:30])[C:3]([C:2]([O:1][H:33])([H:31])[H:32])([H:4])[O:5][C:6]([O:7][C:8]([H:9])([C:10]([OH:11])([H:12])[CH3:13])[C:14]([CH3:15])([H:16])[OH:17])([H:18])[C:19]([O:20][H:21])([H:22])[C:23]2([O:24][H:25])[H:26])O1.[H]O[H:29])","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8-,9-,10+,11?,12+/m1/s1","O","InChI=1S/H2O/h1H2","0","[None]","16","[RR-02-a8f5a51b6bb94b23-16-F]","[3.2.1.179]","1.0","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","0"
"[target]","TRS_0_0_4","[O:1]([C:2]([C:3]1([H:4])[O:5][C:6]([O:7][C:8]([H:9])([C:10]([OH:11])([H:12])[CH3:13])[C:14]([CH3:15])([H:16])[OH:17])([H:18])[C:19]([O:20][H:21])([H:22])[C:23]([O:24][H:25])([H:26])[C:27]1([O:28][H:29])[H:30])([H:31])[H:32])[H:33]>>([H]OC(=O)C1=C([H])C([H])(O[H])C([H])(O[H])C([H])([O:28][C:27]2([H:30])[C:3]([C:2]([O:1][H:33])([H:31])[H:32])([H:4])[O:5][C:6]([O:7][C:8]([H:9])([C:10]([OH:11])([H:12])[CH3:13])[C:14]([CH3:15])([H:16])[OH:17])([H:18])[C:19]([O:20][H:21])([H:22])[C:23]2([O:24][H:25])[H:26])O1.[H]O[H:29])","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C12H22O11/c13-1-3-5(15)7(17)8(18)12(22-3)23-10-6(16)4(2-14)21-11(20)9(10)19/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8-,9-,10+,11?,12+/m1/s1","O=C(O)C1=CC(O)C(O)C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](CO)OC(O)[C@@H]3O)O[C@@H]2CO)O1","InChI=1S/C18H28O16/c19-2-6-9(23)14(12(26)16(29)30-6)34-18-11(25)10(24)13(7(3-20)32-18)33-17-8(22)4(21)1-5(31-17)15(27)28/h1,4,6-14,16-26,29H,2-3H2,(H,27,28)/t4?,6-,7-,8?,9-,10-,11-,12-,13-,14+,16?,17?,18+/m1/s1","0","[None]","16","[RR-02-a8f5a51b6bb94b23-16-F]","[3.2.1.179]","1.0","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](CO)OC(O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O","0"
