,Pair
0,D341P13
1,D341P217
2,D341P84
3,D341P172
4,D341P132
5,D341P181
6,D341P291
7,D341P329
8,D341P151
9,D341P193
10,D341P249
11,D341P53
12,D341P158
13,D341P368
14,D341P434
15,D341P257
16,D341P133
17,D341P420
18,D341P321
19,D341P255
20,D341P312
21,D341P422
22,D341P27
23,D341P145
24,D341P105
25,D341P48
26,D341P330
27,D341P200
28,D341P129
29,D341P96
30,D341P187
31,D341P304
32,D341P281
33,D341P466
34,D341P318
35,D341P341
36,D341P445
37,D341P444
38,D341P275
39,D341P90
40,D4P342
41,D4P132
42,D4P172
43,D4P445
44,D4P288
45,D4P318
46,D4P250
47,D4P48
48,D4P465
49,D4P291
50,D4P466
51,D4P84
52,D4P129
53,D4P384
54,D4P13
55,D4P365
56,D4P325
57,D4P460
58,D4P341
59,D4P257
60,D4P7
61,D4P90
62,D4P370
63,D4P105
64,D4P455
65,D4P312
66,D4P96
67,D4P358
68,D4P397
69,D4P368
70,D4P434
71,D4P329
72,D4P321
73,D251P53
74,D251P435
75,D251P321
76,D251P466
77,D251P84
78,D251P285
79,D251P460
80,D251P397
81,D251P330
82,D251P329
83,D251P7
84,D251P312
85,D251P48
86,D251P255
87,D251P455
88,D251P370
89,D251P434
90,D251P384
91,D251P358
92,D251P90
93,D251P291
94,D251P257
95,D251P341
96,D251P13
97,D251P336
98,D251P123
99,D251P318
100,D251P129
101,D251P96
102,D251P288
103,D251P325
104,D251P365
105,D251P465
106,D251P250
107,D251P132
108,D251P133
109,D251P42
110,D251P342
111,D251P277
112,D251P368
113,D251P105
114,D297P96
115,D297P341
116,D297P325
117,D297P288
118,D297P7
119,D297P358
120,D297P53
121,D297P151
122,D297P445
123,D297P285
124,D297P129
125,D297P249
126,D297P105
127,D297P132
128,D297P466
129,D297P345
130,D297P133
131,D297P330
132,D297P342
133,D297P90
134,D297P455
135,D297P257
136,D297P291
137,D297P42
138,D297P321
139,D297P465
140,D297P336
141,D297P370
142,D297P312
143,D297P368
144,D297P255
145,D297P187
146,D297P318
147,D297P384
148,D297P365
149,D297P123
150,D342P434
151,D342P435
152,D342P466
153,D342P445
154,D342P444
155,D342P465
156,D83P368
157,D83P220
158,D83P249
159,D83P227
160,D83P444
161,D83P217
162,D83P172
163,D83P445
164,D83P133
165,D83P48
166,D83P200
167,D83P13
168,D83P330
169,D83P312
170,D83P384
171,D83P129
172,D83P460
173,D83P151
174,D83P341
175,D83P370
176,D83P466
177,D83P105
178,D83P321
179,D83P291
180,D83P336
181,D83P288
182,D83P90
183,D83P358
184,D83P455
185,D83P42
186,D83P193
187,D83P123
188,D83P96
189,D83P255
190,D83P7
191,D83P53
192,D83P257
193,D83P465
194,D83P84
195,D83P365
196,D83P27
197,D83P250
198,D83P132
199,D83P397
200,D83P318
201,D83P285
202,D83P325
203,D83P342
204,D83P181
205,D83P434
206,D83P329
207,D127P325
208,D127P172
209,D127P132
210,D127P123
211,D127P285
212,D127P397
213,D127P181
214,D127P312
215,D127P329
216,D127P330
217,D127P84
218,D127P291
219,D127P460
220,D127P133
221,D127P151
222,D127P434
223,D127P444
224,D127P336
225,D127P105
226,D127P42
227,D127P341
228,D127P288
229,D127P255
230,D127P321
231,D127P365
232,D127P53
233,D127P370
234,D127P96
235,D127P90
236,D127P217
237,D127P384
238,D127P455
239,D127P318
240,D127P48
241,D127P466
242,D127P13
243,D127P27
244,D127P249
245,D127P342
246,D127P465
247,D127P7
248,D375P275
249,D375P370
250,D375P445
251,D375P304
252,D375P132
253,D375P434
254,D375P276
255,D375P193
256,D375P90
257,D375P329
258,D375P281
259,D375P291
260,D375P321
261,D375P145
262,D375P84
263,D375P466
264,D375P384
265,D375P255
266,D53P465
267,D53P48
268,D53P133
269,D53P325
270,D53P105
271,D53P342
272,D53P434
273,D53P222
274,D53P341
275,D53P358
276,D53P132
277,D53P129
278,D53P250
279,D53P444
280,D53P227
281,D53P217
282,D53P321
283,D53P123
284,D53P455
285,D53P172
286,D53P308
287,D53P90
288,D53P445
289,D53P435
290,D53P288
291,D53P368
292,D53P181
293,D53P318
294,D53P277
295,D53P460
296,D53P397
297,D53P330
298,D53P291
299,D53P7
300,D53P384
301,D53P84
302,D53P257
303,D53P13
304,D53P312
305,D53P466
306,D53P151
307,D53P370
308,D53P365
309,D53P96
310,D308P466
311,D308P42
312,D308P368
313,D308P365
314,D308P304
315,D308P90
316,D308P291
317,D308P7
318,D308P455
319,D308P133
320,D308P336
321,D308P249
322,D308P48
323,D308P277
324,D308P151
325,D308P275
326,D308P181
327,D308P285
328,D308P276
329,D308P193
330,D308P342
331,D308P281
332,D308P445
333,D308P187
334,D308P318
335,D308P200
336,D308P341
337,D308P408
338,D308P105
339,D308P420
340,D308P345
341,D308P312
342,D308P465
343,D308P422
344,D308P96
345,D308P27
346,D308P123
347,D308P13
348,D308P172
349,D308P145
350,D308P370
351,D308P460
352,D308P288
353,D308P325
354,D308P257
355,D308P53
356,D308P358
357,D308P120
358,D308P329
359,D308P132
360,D308P444
361,D308P129
362,D308P321
363,D308P217
364,D308P255
365,D308P158
366,D308P84
367,D308P330
368,D308P435
369,D308P384
370,D105P172
371,D105P434
372,D105P275
373,D105P329
374,D105P291
375,D105P466
376,D105P304
377,D82P341
378,D82P312
379,D82P384
380,D82P291
381,D82P7
382,D82P288
383,D82P365
384,D82P181
385,D82P330
386,D82P249
387,D82P129
388,D82P285
389,D82P444
390,D82P445
391,D82P105
